MODULE_571,AQP1 GRK5 ELMO1 ACVRL1 ALPPL2 BHMT RORA EPHB1 COL4A4 DRD1 ATXN3 HCAR1 GPR18 PTPN21 DPYS
MODULE_315,KIF11 MAD2L1 CDC20 CCNA2 NEDD9 CENPF TTK TBCE TUBB3 TUBA4A KIF23 CENPE BUB1 BIRC5 BUB3 ZW10
MODULE_401,PLA2G2A LIPA LPL MGLL CES1 AADAC APOC2 CLC PLA2G7 PRDX6 PLA2G10 AOAH BCHE PON1 PLA2G5 PNLIPRP1
MODULE_495,PVRL2 RGS1 IL1RAP HGD RCBTB2 CKAP2 XPNPEP2 ICAM4 LEAP2 LRRN3 SULT1E1 CCDC68 PPP4R4 VRTN C2CD4C CDADC1
MODULE_530,SEPP1 GPX3 GOT1 GPX2 NUDT1 MPO SDS PRDX6 CAT GPX1 SOD1 GPX4 CDO1 ATOX1 PDLIM1 DUSP1
MODULE_547,IGHM PTGIS EVI2B AP2A1 IGLJ3 CACNG4 NUP107 APOPT1 CPSF3L AHNAK NUDT22 WWC3 NEUROD6 ZNF266 MGA PLEKHA1
MODULE_346,ASAH1 UGCG PLCD1 PLCG2 NSMAF ARSA PRDX6 PLD1 GPX4 PLA2G5 GM2A HEXB SMPD1 HEXA PSAP B4GALNT1 IMPA1
MODULE_349,GATM NNMT DNMT1 SHMT2 CAD ICMT ALDH1L1 GART BHMT HNMT GCSH GAMT COMT TRDMT1 PJA2 FTCD TRMU
MODULE_352,CSE1L TNPO1 IPO7 SUMO1 NUP153 RANBP2 RAN TMPO NUP88 XPO1 NUP107 KPNB1 KPNA1 TPR CLIC1 TNPO2 SNUPN
MODULE_388,SNRPB2 SNRPC LSM1 SNRPF NHP2L1 SNRPD3 RRP9 SNRPA1 SF3A3 SF3A2 SNRPE SNRPG SNRPD2 SNRPA SNRPD1 EFTUD2 PRPF8
MODULE_414,PLSCR1 ANXA1 ANXA3 ATP5A1 ATP5E ATP5D ATP5G3 ATP5O ATP5G1 ATP5G2 ATP5B ATP6V1F ATP6V1E1 CDIPT ANXA5 PEBP1 SDPR
MODULE_537,TNFAIP3 IER3 BIRC2 MYBL2 NRG2 SEMA4D SERPINB2 BCL2L1 CD2 BIRC3 BCL2A1 IL1A BIRC5 NFKB1 BNIP3 SON CFLAR
MODULE_236,APOE LDLR UGCG NR0B2 APOB APOA1 CELA3A SCARB1 APOL1 NMT1 LRP8 SOAT2 VLDLR CETP SORL1 SREBF1 STARD3 MBTPS2
MODULE_294,AMT DPYD CA2 HAL CPS1 ACADSB DHODH ACADVL GLUD1 ACADM ACADL SDHC SRD5A2 CA6 ACADS CA5A CA8 CTH
MODULE_311,SLC2A3 VWF AKR1C1 TNC LCN2 ALOX5AP TCN1 AMBP PPBP FTH1 UCP1 SLC25A5 SLC2A5 UCP2 AKR1C2 SLC25A16 HSP90B1 RLBP1
MODULE_368,SLC16A2 SLC16A8 SLC16A4 SLC17A3 CHRNE SLC6A7 SLC10A1 SLC10A2 SLC16A6 SLC6A4 SLC34A1 SLC6A1 SLC6A3 SLC12A3 TTR SLC17A2 SLC12A1 SLC15A1
MODULE_424,FCGRT FCER1G FCGR3A LILRB3 FCGR2A APOH LGALS3 KIR3DL1 LILRB2 TLR1 FCER1A FCER2 MS4A2 PSG3 HCP5 CIITA IGLL1 TLR3
MODULE_305,ALDH1A1 ECHS1 ALDH3A2 ACO1 SHMT1 ALDH1B1 BBOX1 FH IDH2 ALDH9A1 ACO2 EHHADH MDH1 ACSM5 HADH ALDH2 DBT ACAT1 MDH2
MODULE_400,GNG11 LMOD1 SLIT2 EFEMP1 AHSG MGP JAK3 IL6ST TIE1 STC1 MTTP AMELY SRD5A2 IBSP TCF15 COL5A1 EXTL1 ABCA8 KIF25
MODULE_81,EIF4EBP1 EIF3I EIF3G EIF4A1 EIF4B EIF3F EIF1 BZW1 EIF3E EIF4H EIF4A2 EIF3H EIF3C EIF5A EIF4EBP2 EIF3D EIF4G2 EIF6 HSPB1 EIF4G1
MODULE_186,SLC16A3 SLC16A2 SLC16A8 SLC16A1 SLC16A4 LTBP2 SLC7A5 SLC1A6 SLC1A3 ABCC3 SLC10A1 SLC7A9 SLC10A2 ABCG1 SLCO1A2 AKR1C4 SLC26A3 SLC7A2 SLC38A3 SLC3A1
MODULE_320,PTTG1 KIF11 ILF3 TTK MAPT DDX11 ESPL1 NDC80 RAN CCNA1 LEPREL4 MID1 RAD21 NCAPD2 KIF23 CENPE SMC2 BRCA1 ZW10 MSH5
MODULE_545,IL1R1 ALPL TLR2 IL1RL1 IL1RAP UBD SERPINA5 GSTA2 DAO FOXF2 IL18R1 CDH13 AKAP4 HCRTR1 UGT1A4 JAKMIP2 VGLL1 DSCC1 SOX30 HOXD9
MODULE_4,UBE2L6 UBE2M UBE4A UBE2A UBE2N SUMO1 UBE2D2 UBE2V2 UBE2G1 UBE2D1 UBE2V1 UBE2D3 UBE2E1 UBE2H UBE2I UBE2K UBE2B UBE2S UBL4A CYB561D2 UBR5
MODULE_58,CD55 CFH C7 CFHR1 C1S C2 CFB C5 CFI SERPING1 C4BPB C1R C8A C4BPA C1QA C4B C3 CR2 C6 CLU C9
MODULE_253,DNM1 KIF5C STMN1 KIF11 MAPRE1 ARSB KIF3B MAP2 KIF14 KIF2C TUBB3 TUBB4B TUBA4A SNTB2 MAP1B KIF23 CENPE DYNLL1 KIF5A DCTN2 DYNC1LI2
MODULE_73,IL1R1 CXCR4 IL4R IL7R TLR2 IL2RG CSF2RB IL1RL1 IL1RAP IL10RA IL18R1 IL3RA IL13RA2 IL2RB CXCR6 TLR1 IL15RA CXCR5 IL2RA IL6R CXCR2 IL1R2 MYD88
MODULE_416,AQP1 DUSP2 ADM MAD2L1 AQP4 AQP3 EFNA1 SCNN1A CYP2B6 LTF CLCNKA TLE3 AGTR1 UNC13B SLC22A4 GUCA2B TMF1 SAA1 CLCNKB SLC34A1 NFAT5 ADAM17 LEPREL2
